person_id,model_choice
110274,164
112798,160
115213,36
121226,123
125886,131
270468,131
326825,188
326826,57
327677,25
327678,122
420463,133
536704,5
536705,50
536706,167
570830,181
780742,153
780744,26
780745,52
968365,17
973454,9
1355905,38
1476217,19
2107430,10
2107431,3
2107432,96
110274,164
112798,160
115213,36
121226,123
125886,131
270468,131
326825,188
326826,57
327677,25
327678,122
420463,133
536704,5
536705,50
536706,167
570830,181
780742,153
780744,26
780745,52
968365,17
973454,9
1355905,38
1476217,19
2107430,10
2107431,3
2107432,96
1583517,92
1633544,52
1635006,189
1638362,11
1642450,123
1643445,172
1650671,21
1807495,51
1807496,28
1811173,61
1811174,153
1880719,185
1880720,184
1883887,49
1883888,117
1886623,126
1886624,115
1891709,79
1891710,162
2044577,167
2044579,116
2044943,5
2044945,25
2071758,81
2071759,58
2159990,122
2958065,174
2959231,154
1583517,92
1633544,52
1635006,189
1638362,11
1642450,123
1643445,172
1650671,21
1807495,51
1807496,28
1811173,61
1811174,153
1880719,185
1880720,184
1883887,49
1883888,117
1886623,126
1886624,115
1891709,79
1891710,162
2044577,167
2044579,116
2044943,5
2044945,25
2071758,81
2071759,58
2159990,122
2958065,174
2959231,154
3237103,91
3238446,131
3239954,38
3240180,70
3329489,125
3507582,117
3507583,135
3511898,130
3511899,104
3516708,112
3516709,162
3519392,65
3519393,34
3597630,143
3706911,177
3706912,149
3706913,72
3749721,61
3749722,122
3749723,184
3814461,98
3814462,8
3814719,9
3814720,70
3894141,164
3894142,116
3919953,149
3919954,100
3919955,45
4632969,155
4632970,124
4632972,10
4903442,59
4903443,123
5029917,72
5029918,22
5029920,184
5029921,1
3237103,91
3238446,131
3239954,38
3240180,70
3329489,125
3507582,117
3507583,135
3511898,130
3511899,104
3516708,112
3516709,162
3519392,65
3519393,34
3597630,143
3706911,177
3706912,149
3706913,72
3749721,61
3749722,122
3749723,184
3814461,98
3814462,8
3814719,9
3814720,70
3894141,164
3894142,116
3919953,149
3919954,100
3919955,45
4632969,155
4632970,124
4632972,10
4903442,59
4903443,123
5029917,72
5029918,22
5029920,184
5029921,1
5038271,68
5062439,70
5388512,1
5388513,103
5390398,57
5390399,103
5399362,103
5399363,16
5413470,93
5413471,181
5416958,138
5416959,119
5424624,43
5424625,45
5518476,84
5699076,180
5699077,73
5699078,92
5709855,117
5709856,13
5709857,32
5770467,7
5770468,91
5771424,131
5771425,101
5775264,161
5775265,62
5957130,104
5963070,101
5963072,59
6051801,7
6051802,53
6051803,55
6051804,186
6368319,41
6368320,61
6368321,55
6368322,132
6918939,141
6918940,169
6918943,6
7348239,80
5038271,68
5062439,70
5388512,1
5388513,103
5390398,57
5390399,103
5399362,103
5399363,16
5413470,93
5413471,181
5416958,138
5416959,119
5424624,43
5424625,45
5518476,84
5699076,180
5699077,73
5699078,92
5709855,117
5709856,13
5709857,32
5770467,7
5770468,91
5771424,131
5771425,101
5775264,161
5775265,62
5957130,104
5963070,101
5963072,59
6051801,7
6051802,53
6051803,55
6051804,186
6368319,41
6368320,61
6368321,55
6368322,132
6918939,141
6918940,169
6918943,6
7348239,80
